,LNDbID,x,y,z,w,h,file,orig shp,origin,t_wrld,lblIndex
0,1,0.3671875,0.611328125,260.0,0.007340402003739633,0.007340402003739633,tr-0001-0000.jpg,"(328, 512, 512)","(-158.1962890625, -309.1962890625, -297.5)",tr-0001-0000,1
1,1,0.591796875,0.5859375,252.0,0.006471587167520353,0.006471587167520353,tr-0001-0001.jpg,"(328, 512, 512)","(-158.1962890625, -309.1962890625, -297.5)",tr-0001-0001,1
2,2,0.708984375,0.69140625,170.0,0.008760871300745527,0.008760871300745527,tr-0002-0000.jpg,"(263, 512, 512)","(-174.1376953125, -380.1376953125, -299.5)",tr-0002-0000,1
3,2,0.640625,0.720703125,182.0,0.006775133849002895,0.006775133849002895,tr-0002-0001.jpg,"(263, 512, 512)","(-174.1376953125, -380.1376953125, -299.5)",tr-0002-0001,1
4,2,0.189453125,0.7109375,46.0,0.008090291216061005,0.008090291216061005,tr-0002-0002.jpg,"(263, 512, 512)","(-174.1376953125, -380.1376953125, -299.5)",tr-0002-0002,1
5,2,0.65234375,0.767578125,218.0,0.004581934500470076,0.004581934500470076,tr-0002-0003.jpg,"(263, 512, 512)","(-174.1376953125, -380.1376953125, -299.5)",tr-0002-0003,1
6,2,0.58984375,0.69140625,236.0,0.003397709400964951,0.003397709400964951,tr-0002-0004.jpg,"(263, 512, 512)","(-174.1376953125, -380.1376953125, -299.5)",tr-0002-0004,1
7,2,0.787109375,0.697265625,90.0,0.0029296875,0.0029296875,tr-0002-0005.jpg,"(263, 512, 512)","(-174.1376953125, -380.1376953125, -299.5)",tr-0002-0005,1
8,2,0.705078125,0.697265625,192.0,0.008813284571066626,0.008813284571066626,tr-0002-0006.jpg,"(263, 512, 512)","(-174.1376953125, -380.1376953125, -299.5)",tr-0002-0006,1
9,2,0.7109375,0.59765625,129.0,0.004926136687702269,0.004926136687702269,tr-0002-0007.jpg,"(263, 512, 512)","(-174.1376953125, -380.1376953125, -299.5)",tr-0002-0007,1
10,3,0.240234375,0.56640625,185.0,0.007203359490599924,0.007203359490599924,tr-0003-0000.jpg,"(301, 512, 512)","(-203.626953125, -393.626953125, -286.5)",tr-0003-0000,1
11,3,0.234375,0.615234375,198.0,0.005444507979929043,0.005444507979929043,tr-0003-0001.jpg,"(301, 512, 512)","(-203.626953125, -393.626953125, -286.5)",tr-0003-0001,1
